 Papers,Title,Monkey,Epoch,Brain areas,Main epoch,Note main epoch,Sensitive neurons,Layers,Number of neurons (number of sessions),"Grand CP, random seeds","CP (zero signal), random seeds","Grand CP, frozen seeds","CP (zero signal), frozen seeds",CP-P/N ratio slope,CP-P/N ratio intercept,Recording technique,Description of the stimulus,Task parameter,Difficulty parameter,Stimulus size tailored to neurons' RF,Ratio of stimulus size to RF size ,Non task parameters of stimulus tailored to neurons,Task parameters of stimulus tailored to neurons,How neurons' preferences were estimated,Stimulus duration(ms),Time window for CP calc (ms),Stimulus type,Task type,Reaction Time (RT) Task,"Bias in Sensitivities (proportion of neurons with d'>0, + is for Target 1) ",Perceptual learning exposure duration before data collection,Perceptual learning exposure duration during data collection,Lapse rate,Psych. kernel alignment with the task,Neurometric threshold,Psychometric threshold,N/P ratio,Neurometric threshold method,Choice made by,Predictibility of choice targets,Location of stimulus (deg visual angle),Symmetry of task sensitivity of neurons,Location of target 1(deg visual angle),Location of target 2(deg visual angle),CP-sensitivity: variable for sensitivity,CP-sensitivity: how measured,CP-sensitivity: result (pvalue),,,
Yates et al. (2017),Functional dissection of signal and noise in MT and LIP during decision-making,two combined,1(d'>0.2),MT,1,,,,104,,,,0.53(p<0.001),,,Linear probe,Multiple drifting gabor gratings,direction of movement,coherence,1 (individual neuron RF),,3 (not tailored),2 (population of neurons),from separate sessions,1050,1050,1 (not bi-stable),2 (coarse discrimination),No,,,,<5%,,,,,,Saccades,varied session by session,5-7,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levi et al.  (2023),Sensory and choice responses in MT distinct from motion encoding,L,1(flat stimulus duration),MT,1,,,,129,,,,0.51 (p > 0.05),,,Linear probe,Multiple drifting gabor gratings,direction of movement,coherence,1 (individual neuron RF),,3 (not tailored),2 (population of neurons),from separate sessions,1050,1050,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,,,Saccades,varied session by session,4-12,,based on neuron pref,based on neuron pref,,,,J Neurosci. 2023 Mar 22;43(12):2090-2103,,
,,N,1(flat stimulus duration),MT,1,,,,32,,,,0.53 (p < 0.05),,,Linear probe,Multiple drifting gabor gratings,direction of movement,coherence,1 (individual neuron RF),,3 (not tailored),2 (population of neurons),from separate sessions,1050,1050,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,,,Saccades,varied session by session,4-12,,based on neuron pref,based on neuron pref,,,,,,
,,L,2(late stimulus duration),MT,1,,,,196,,,,0.51 (p < 0.05),,,Linear probe,Multiple drifting gabor gratings,direction of movement,coherence,1 (individual neuron RF),,3 (not tailored),2 (population of neurons),from separate sessions,1050,1050,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,,,Saccades,varied session by session,4-12,,based on neuron pref,based on neuron pref,,,,,,
,,N,2(late stimulus duration),MT,1,,,,27,,,,0.51 (p > 0.05),,,Linear probe,Multiple drifting gabor gratings,direction of movement,coherence,1 (individual neuron RF),,3 (not tailored),2 (population of neurons),from separate sessions,1050,1050,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,,,Saccades,varied session by session,4-12,,based on neuron pref,based on neuron pref,,,,,,
,,L,3(early stimulus duration),MT,1,,,,150,,,,0.46 (p < 0.05),,,Linear probe,Multiple drifting gabor gratings,direction of movement,coherence,1 (individual neuron RF),,3 (not tailored),2 (population of neurons),from separate sessions,1050,1050,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,,,Saccades,varied session by session,4-12,,based on neuron pref,based on neuron pref,,,,,,
,,N,3(early stimulus duration),MT,1,,,,60,,,,0.49 (p > 0.05),,,Linear probe,Multiple drifting gabor gratings,direction of movement,coherence,1 (individual neuron RF),,3 (not tailored),2 (population of neurons),from separate sessions,1050,1050,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,,,Saccades,varied session by session,4-12,,based on neuron pref,based on neuron pref,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. (2003),Parietal activity and the perceived direction of ambiguous apparent motion,two combined,1(all neurons),MT,1,,,,46,,,,0.50(p>0.05),,,single electrode,flickering displaced dot-columns,direction of movement,displacement size,2 (population of neurons),,3 (not tailored),1 (individual neuron),from separate sessions,800,800,2 (bi stable),2 (coarse discrimination),No,,,,<10%,,,,,,Lever,totally unpredictable ,6.3(4.7-12.1),,not aplicable,not aplicable,,,,,,
,,two combined,1(all neurons),MST,1,,,,60,,,,0.58(p<0.05),,,single electrode,flickering displaced dot-columns,direction of movement,displacement size,2 (population of neurons),,3 (not tailored),1 (individual neuron),from separate sessions,800,800,2 (bi stable),2 (coarse discrimination),No,,,,<10%,,,,,,Lever,totally unpredictable ,10.5(6.0-23.2),,not aplicable,not aplicable,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elmore et al.  (2019),Choice-Related Activity during Visual Slant Discrimination in Macaque CIP But Not V3A,two combined,1(all neurons),V3A,2,different CP method,,,23,0.49(p=0.4),0.52(p=0.53),,,,,single electrode,planar surface of random dot stereogram,slant ,slant angle,not tailored/not applicable,,3 (not tailored),3 (not tailored),from separate sessions,1000,1000,1 (not bi-stable),1 (fine discrimination),No,0.43,,,,,26.25,,18,vs zero signal*sqrt(2),Saccades,Fixed for the whole period,"(0,0)",,"(0,8.6)","(0,-8.6)",threshold,Spearman correlation,-0.20 (p = 0.3),", eNeuro. 2019 Mar 26;6(2):ENEURO.0248-18.2019",,
,,two combined,2(d' > 0),V3A,0,,,,10,0.46(SEM = 0.03),,,,,,single electrode,planar surface of random dot stereogram,slant ,slant angle,not tailored/not applicable,,3 (not tailored),3 (not tailored),from separate sessions,1000,1000,1 (not bi-stable),1 (fine discrimination),No,1,,,,,,,,vs zero signal*sqrt(2),Saccades,Fixed for the whole period,"(0,0)",,"(0,8.6)","(0,-8.6)",,,,,,
,,two combined,3(d'<0),V3A,0,,,,13,0.50(SEM = 0.03),,,,,,single electrode,planar surface of random dot stereogram,slant ,slant angle,not tailored/not applicable,,3 (not tailored),3 (not tailored),from separate sessions,1000,1000,1 (not bi-stable),1 (fine discrimination),No,0,,,,,,,,vs zero signal*sqrt(2),Saccades,Fixed for the whole period,"(0,0)",,"(0,8.6)","(0,-8.6)",,,,,,
,,P,1(all neurons),V3A,1,,,,10,0.48(p=0.42),,,,,,single electrode,planar surface of random dot stereogram,slant ,slant angle,not tailored/not applicable,,3 (not tailored),3 (not tailored),from separate sessions,1000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,23.73,1.483125,16,vs zero signal*sqrt(2),Saccades,Fixed for the whole period,"(0,0)",,"(0,8.6)","(0,-8.6)",,,,,,
,,Z,1(all neurons),V3A,1,,,,13,0.49(p = 0.67),,,,,,single electrode,planar surface of random dot stereogram,slant ,slant angle,not tailored/not applicable,,3 (not tailored),3 (not tailored),from separate sessions,1000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,31.30,1.043333333,30,vs zero signal*sqrt(2),Saccades,Fixed for the whole period,"(0,0)",,"(0,8.6)","(0,-8.6)",,,,,,
,,two combined,1(all neurons),CIP,2,different CP method,,,65,0.57 (p < 0.001),0.58 (p < 0.001),,,,,single electrode,planar surface of random dot stereogram,slant ,slant angle,not tailored/not applicable,,3 (not tailored),3 (not tailored),from separate sessions,1000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,32.86,,,vs zero signal*sqrt(2),Saccades,Fixed for the whole period,"(0,0)",,"(0,8.6)","(0,-8.6)",threshold,Spearman correlation, -0.44 (p = 0.0003),,,
,,two combined,2(d' > 0),CIP,0,,,,30,0.55(SEM = 0.03),,,,,,single electrode,planar surface of random dot stereogram,slant ,slant angle,not tailored/not applicable,,3 (not tailored),3 (not tailored),from separate sessions,1000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,,,,vs zero signal*sqrt(2),Saccades,Fixed for the whole period,"(0,0)",,"(0,8.6)","(0,-8.6)",,,,,,
,,two combined,3(d'<0),CIP,0,,,,35,0.59(SEM = 0.03),,,,,,single electrode,planar surface of random dot stereogram,slant ,slant angle,not tailored/not applicable,,3 (not tailored),3 (not tailored),from separate sessions,1000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,,,,vs zero signal*sqrt(2),Saccades,Fixed for the whole period,"(0,0)",,"(0,8.6)","(0,-8.6)",,,,,,
,,N,1(all neurons),CIP,1,,,,44,0.57(p < 0.001),,,,,,single electrode,planar surface of random dot stereogram,slant ,slant angle,not tailored/not applicable,,3 (not tailored),3 (not tailored),from separate sessions,1000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,35.16,2.511428571,14,vs zero signal*sqrt(2),Saccades,Fixed for the whole period,"(0,0)",,"(0,8.6)","(0,-8.6)",,,,,,
,,P,1(all neurons),CIP,1,,,,21,0.57(p = 0.04),,,,,,single electrode,planar surface of random dot stereogram,slant ,slant angle,not tailored/not applicable,,3 (not tailored),3 (not tailored),from separate sessions,1000,1000,1 (not bi-stable),1 (fine discrimination),No,,,,,,26.04,0.7658823529,34,vs zero signal*sqrt(2),Saccades,Fixed for the whole period,"(0,0)",,"(0,8.6)","(0,-8.6)",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chang et al. (2020), Doudlah et al.  (2022)","Parallel processing, hierarchical transformations, and sensorimotor associations along the ‘where’ pathway",L,1(all neurons),CIP,1,,,,197,,0.56(0.55-0.58),,,N/A,N/A,Linear probe,planar surface of uniform dot stereogram,tilt,slant and distance from fixations,not tailored/not applicable,,3 (not tailored),3 (not tailored),from task data,1000,798,1 (not bi-stable),2 (coarse discrimination),No,not aplicable,,,,,,,,,Saccades,Fixed for the whole period,"(0,0)",,not aplicable,not aplicable,,,,,,0.5619(0.5356- 0.5882)
,,F,1(all neurons),CIP,1,,,,212,,0.645(0.62-0.67),,,N/A,N/A,Linear probe,planar surface of uniform dot stereogram,tilt,slant and distance from fixations,not tailored/not applicable,,3 (not tailored),3 (not tailored),from task data,1000,798,1 (not bi-stable),2 (coarse discrimination),No,not aplicable,,,,,,,,,Saccades,Fixed for the whole period,"(0,0)",,not aplicable,not aplicable,,,,,,0.646(0.6204- 0.6716)
,,L,1(all neurons),V3A,1,,,,260,,0.52(0.51-0.54),,,N/A,N/A,Linear probe,planar surface of uniform dot stereogram,tilt,slant and distance from fixations,not tailored/not applicable,,3 (not tailored),3 (not tailored),from task data,1000,809,1 (not bi-stable),2 (coarse discrimination),No,not aplicable,,,,,,,,,Saccades,Fixed for the whole period,"(0,0)",,not aplicable,not aplicable,,,,", eNeuro. 2019 Mar 26;6(2):ENEURO.0248-18.2019",,0.5246(0.5006- 0.5485)
,,F,1(all neurons),V3A,1,,,,243,,0.60(0.58-0.63),,,N/A,N/A,Linear probe,planar surface of uniform dot stereogram,tilt,slant and distance from fixations,not tailored/not applicable,,3 (not tailored),3 (not tailored),from task data,1000,809,1 (not bi-stable),2 (coarse discrimination),No,not aplicable,,,,,,,,,Saccades,Fixed for the whole period,"(0,0)",,not aplicable,not aplicable,,,,,,0.6036(0.5757- 0.6314)
,,W,1(all neurons),V3A,1,,,,113,,0.56(0.54- 0.58),,,N/A,N/A,Linear probe,planar surface of uniform dot stereogram,tilt,slant and distance from fixations,not tailored/not applicable,,3 (not tailored),3 (not tailored),from task data,1000,809,1 (not bi-stable),2 (coarse discrimination),No,not aplicable,,,,,,,,,Saccades,Fixed for the whole period,"(0,0)",,not aplicable,not aplicable,,,,,,0.5627(0.5348- 0.5905)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghose & Harrison 2009,Temporal Precision of Neuronal Information in a Rapid Perceptual Judgment,two combined,1(all neurons),MT,1,,,,62,,0.64,,,,,single electrode,100% coherent 31 drifting gabor pathces ,coherent motion,none,1 (individual neuron RF),,3 (not tailored),1 (individual neuron),from separate sessions,71.5,16-64,1 (not bi-stable),3 (change detection),Yes,not aplicable,,,not applicable,,,,,,Saccades,varied block by block,,,location of the stimulus,,sensitivity,Spearman correlation,0.59 (p < 0.001),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adab & Vogels (2011),Practicing coarse orientation discrimination improves orientation signals in macaque cortical area v4,M,1(late learning),V4,1,"for sure we need late learning to compare with other studies, but we would also prefer sensitive neurons",,,,0.518 (p > 0.05),,,,,,single electrode,Oriented grating,orientation,signal to noise ratio,1 (individual neuron RF),,3 (not tailored),3 (not tailored),from task data,250,250,1 (not bi-stable),2 (coarse discrimination),No,,,,2%,,24,12,2,,Saccades,Fixed for the whole period,"(-2,-2)",,5,5,,,,,,
,,P,1(late learning),V4,1,,,,,0.516 (p > 0.05),,,,,,single electrode,Oriented grating,orientation,signal to noise ratio,1 (individual neuron RF),,3 (not tailored),3 (not tailored),from task data,250,250,1 (not bi-stable),2 (coarse discrimination),No,,,,3%,,24,12,2,,Saccades,Fixed for the whole period,"(-2,-2)",,5,5,,,,,,
,,M,2(early learning),V4,0,,,,,0.515 (p > 0.05),,,,,,single electrode,Oriented grating,orientation,signal to noise ratio,1 (individual neuron RF),,3 (not tailored),3 (not tailored),from task data,250,250,1 (not bi-stable),2 (coarse discrimination),No,,,,4%,,,,,,Saccades,Fixed for the whole period,"(-2,-2)",,5,5,,,,,,
,,P,2(early learning),V4,0,,,,,0.521 (p > 0.05),,,,,,single electrode,Oriented grating,orientation,signal to noise ratio,1 (individual neuron RF),,3 (not tailored),3 (not tailored),from task data,250,250,1 (not bi-stable),2 (coarse discrimination),No,,,,17%,,,,,,Saccades,Fixed for the whole period,"(-2,-2)",,5,5,,,,,,
,,M,"3(early and late learning, all neurons)",V4,0,,,,103,0.516(p < 0.01),,,,,,single electrode,Oriented grating,orientation,signal to noise ratio,1 (individual neuron RF),,3 (not tailored),3 (not tailored),from task data,250,250,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,,,Saccades,Fixed for the whole period,"(-2,-2)",,5,5,,,,Practicing coarse orientation discrimination improves orientation signals in macaque cortical area v4,,
,,P,"3(early and late learning, all neurons)",V4,0,,,,67,0.515(p<0.05),,,,,,single electrode,Oriented grating,orientation,signal to noise ratio,1 (individual neuron RF),,3 (not tailored),3 (not tailored),from task data,250,250,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,,,Saccades,Fixed for the whole period,"(-2,-2)",,5,5,,,,Practicing coarse orientation discrimination improves orientation signals in macaque cortical area v4,,
,,two combined,"3(early and late learning, all neurons)",V4,0,,,,170,0.517 (p < 0.001),,,,,,single electrode,Oriented grating,orientation,signal to noise ratio,1 (individual neuron RF),,3 (not tailored),3 (not tailored),from task data,250,250,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,,,Saccades,Fixed for the whole period,"(-2,-2)",,5,5,,,,,,
,,two combined,"4(early and late learning, sensitive neurons)",V4,0,,,,36,0.541 (p < 0.005),,,,,,single electrode,Oriented grating,orientation,signal to noise ratio,1 (individual neuron RF),,3 (not tailored),3 (not tailored),from task data,250,250,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,,,Saccades,Fixed for the whole period,"(-2,-2)",,5,5,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maier et al.  (2007)  ,Context-dependent perceptual modulation of single neurons in primate visual cortex,E00,1(random dots),MT,1,,,,,0.62,,,,,,single electrode,100% coherence random dots,direction of motion,none,2 (population of neurons),,2 (population of neurons),1 (individual neuron),from separate sessions,800,600,2 (bi stable),2 (coarse discrimination),No,,,,,,,,,,not applicable,not applicable,,,,,,,,,,
,,two combined,2(driftying gratings),MT,1,,,,,0.675,,,,,,single electrode,drifting gratings,direction of motion,none,2 (population of neurons),,2 (population of neurons),1 (individual neuron),from separate sessions,800,600,2 (bi stable),2 (coarse discrimination),No,,,,,,,,,,not applicable,not applicable,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mruczek & Sheinberg (2007),,two combined,1(first saccade trials),IT,1,"used both, because these two are essentially different tasks",,,41,,0.58(p< 0.001),,,,,single electrode,taget object + distractors,identity of object,none,not tailored/not applicable,,1 (individual neuron),3 (not tailored),from separate sessions,,200,1 (not bi-stable),2 (coarse discrimination),Yes,,,,<6%,,,,,,Buttons,predictable but varied trial by trial,6,variable,not applicable,not applicable,,,,J Neurosci. 2012 Mar 14;32(11):3830-41,,
,,two combined,2(second saccade trials),IT,1,,,,41,,0.59(p = 0.004),,,,,single electrode,taget object + distractors,identity of object,none,not tailored/not applicable,,1 (individual neuron),3 (not tailored),from separate sessions,,200,1 (not bi-stable),2 (coarse discrimination),Yes,,,,<6%,,,,,,Buttons,predictable but varied trial by trial,8.4,,not applicable,not applicable,,,,J Neurosci. 2012 Mar 14;32(11):3830-41,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verhoef et al. (2010) ,Contribution of Inferior Temporal and Posterior Parietal Activity to Three-Dimensional Shape Perception,B1,1(pre decision),IT,1,,,,28,0.55 (p<0.001),0.54 (p=0.007),,,,,single electrode,random dot stereogram with convex/concave shape,curvature,coherence,not tailored/not applicable,,1 (individual neuron),3 (not tailored),from task data,800,170,1 (not bi-stable),2 (coarse discrimination),No,,,,<3%,,,,,,Saccades,Fixed for the whole period,"(0,0)",,"(6,0)","(-6,0)",sensitivity,Spearman correlation,0.46(p = 0.015),Context-dependent perceptual modulation of single,,
,,B2,1(pre decision),IT,1,,,,13,0.54 (p<0.001),0.56 (p=0.01),,,,,single electrode,random dot stereogram with convex/concave shape,curvature,coherence,not tailored/not applicable,,1 (individual neuron),3 (not tailored),from task data,800,315,1 (not bi-stable),2 (coarse discrimination),No,,,,<3%,,,,,,Saccades,Fixed for the whole period,"(0,0)",,"(6,0)","(-6,0)",sensitivity,Spearman correlation,X(p>0.05),,,
,,B1,"2(pre decision, prefered curvature)",IT,0,,,,28,0.56 (p<0.001),,,,,,single electrode,random dot stereogram with convex/concave shape,curvature,coherence,not tailored/not applicable,,1 (individual neuron),3 (not tailored),from task data,800,170,1 (not bi-stable),2 (coarse discrimination),No,,,,<3%,,,,,,Saccades,Fixed for the whole period,"(0,0)",,"(6,0)","(-6,0)",sensitivity,Spearman correlation,,,,
,,B2,"2(pre decision, prefered curvature)",IT,0,,,,13,0.54 (p=0.055),,,,,,single electrode,random dot stereogram with convex/concave shape,curvature,coherence,not tailored/not applicable,,1 (individual neuron),3 (not tailored),from task data,800,315,1 (not bi-stable),2 (coarse discrimination),No,,,,<3%,,,,,,Saccades,Fixed for the whole period,"(0,0)",,"(6,0)","(-6,0)",sensitivity,Spearman correlation,,,,
,,B1,"2(pre decision, nonprefered curvature)",IT,0,,,,28,0.55 (p=0.007),,,,,,single electrode,random dot stereogram with convex/concave shape,curvature,coherence,not tailored/not applicable,,1 (individual neuron),3 (not tailored),from task data,800,170,1 (not bi-stable),2 (coarse discrimination),No,,,,<3%,,,,,,Saccades,Fixed for the whole period,"(0,0)",,"(6,0)","(-6,0)",sensitivity,Spearman correlation,,,,
,,B2,"2(pre decision, nonprefered curvature)",IT,0,,,,13,0.57 (p<0.001),,,,,,single electrode,random dot stereogram with convex/concave shape,curvature,coherence,not tailored/not applicable,,1 (individual neuron),3 (not tailored),from task data,800,315,1 (not bi-stable),2 (coarse discrimination),No,,,,<3%,,,,,,Saccades,Fixed for the whole period,"(0,0)",,"(6,0)","(-6,0)",sensitivity,Spearman correlation,,,,
,,B1,1(pre decision),AIP,1,,,,37,0.51 (p > 0.05),0.51 (p>0.05),,,,,single electrode,random dot stereogram with convex/concave shape,curvature,coherence,not tailored/not applicable,,1 (individual neuron),3 (not tailored),from task data,800,,1 (not bi-stable),2 (coarse discrimination),No,,,,<3%,,,,,,Saccades,Fixed for the whole period,"(0,0)",,"(6,0)","(-6,0)",sensitivity,Spearman correlation,,,,
,,B2,1(pre decision),AIP,1,,,,14,0.51 (p > 0.05),0.54 (p>0.05),,,,,single electrode,random dot stereogram with convex/concave shape,curvature,coherence,not tailored/not applicable,,1 (individual neuron),3 (not tailored),from task data,800,,1 (not bi-stable),2 (coarse discrimination),No,,,,<3%,,,,,,Saccades,Fixed for the whole period,"(0,0)",,"(6,0)","(-6,0)",sensitivity,Spearman correlation,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmer et al.  (2007),,three combined,"1(hits vs misses, SU and MU)",V1,1,,,,71,0.6186 (SEM = 0.020),,,,,,single electrode,Oriented grating,presence of grating,contrast,1 (individual neuron RF),,1 (individual neuron),3 (not tailored),from task data,200,200,1 (not bi-stable),4 (detection),Yes,not applicable,,,,,7.403661972,6.164788732,1.200935491,,Saccades,varied session by session,4.23,,stimulus location,none,sensitivity,Spearman correlation,0.124 (p = 0.301),Neural Correlates of Fine Depth Discrimination in,,
,,three combined,"2(hits vs misses, SU)",V1,0,,,,25,0.6099 (SEM =0.031),,,,,,single electrode,Oriented grating,presence of grating,contrast,1 (individual neuron RF),,1 (individual neuron),3 (not tailored),from task data,200,200,1 (not bi-stable),4 (detection),Yes,not applicable,,,,,7.29% (SEM = 0.70%),6.10% (SEM = 0.69%),1.196721311,,Saccades,varied session by session,,,stimulus location,none,,,,Neural Correlates of Fine Depth Discrimination in,,
,,three combined,"3(hits vs misses, MU)",V1,0,,,,46,0.6236 (SEM =0.027),,,,,,single electrode,Oriented grating,presence of grating,contrast,1 (individual neuron RF),,1 (individual neuron),3 (not tailored),from task data,200,200,1 (not bi-stable),4 (detection),Yes,not applicable,,,,,7.46% (SEM = 0.41%),6.21% (SEM = 0.36%),1.203225806,,Saccades,varied session by session,,,stimulus location,none,,,,Neural Correlates of Fine Depth Discrimination in,,
,,three combined,"4(FA vs CR, SU and MU)",V1,2,"this is essentially zero signal trials, 2 - for different CP method",,,49,,0.5170 (SEM =0.015),,,,,single electrode,Oriented grating,presence of grating,contrast,1 (individual neuron RF),,1 (individual neuron),3 (not tailored),from task data,200,200,1 (not bi-stable),4 (detection),Yes,not applicable,,,,,7.404489796,6.165306122,1.200969145,,Saccades,varied session by session,4.23,,stimulus location,none,sensitivity,Spearman correlation, 0.086 (p = 0.391),,,
,,three combined,"5(FA vs CR, SU)",V1,0,,,,17,,0.5091 (SEM =0.210),,,,,single electrode,Oriented grating,presence of grating,contrast,1 (individual neuron RF),,1 (individual neuron),3 (not tailored),from task data,200,200,1 (not bi-stable),4 (detection),Yes,not applicable,,,,,7.29% (SEM = 0.70%),6.10% (SEM = 0.69%),1.196721311,,Saccades,varied session by session,,,stimulus location,none,,,,,,
,,three combined,"6(FA vs CR, MU)",V1,0,,,,32,,0.5212 (SEM =0.020),,,,,single electrode,Oriented grating,presence of grating,contrast,1 (individual neuron RF),,1 (individual neuron),3 (not tailored),from task data,200,200,1 (not bi-stable),4 (detection),Yes,not applicable,,,,,7.46% (SEM = 0.41%),6.21% (SEM = 0.36%),1.203225806,,Saccades,varied session by session,,,stimulus location,none,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krekelberg & Albright (2004),,T,1(phi stimulus),MT,1,use both as they are essentially different tasks (different stimulus),,,94,,,0.60(p < 0.05),,,,single electrode,drifting rectangular-wave gratings,direction of motion,none,1 (individual neuron RF),1,3 (not tailored),1 (individual neuron),from task data,1000,1000,1 (not bi-stable),2 (coarse discrimination),No,,9,3,N/A,,N/A,N/A,N/A,,Saccades,varied session by session,< 15,,5 (based on neuron preferences),5 (based on neuron preferences),,,,,,
,,T,2(reverse phi stimulus),MT,1,,,,94,,,0.55 (p<0.05),,,,single electrode,drifting rectangular-wave gratings with blinking contrast polarity,direction of motion,none,1 (individual neuron RF),1,3 (not tailored),1 (individual neuron),from task data,1000,1000,1 (not bi-stable),2 (coarse discrimination),No,,9,3,N/A,,N/A,N/A,N/A,,Saccades,varied session by session,< 15,,5 (based on neuron preferences),5 (based on neuron preferences),,,,,,
